 #(dyne/cm2) (K)          (cm2/s)
 Pressure        Temp     Kzz
   9180669195.5554752        3351.5511968869596        1000000000.0000000     
   7718521867.3071041        3230.3494049927804        1000000000.0000000     
   6489241529.8997107        3111.3895781297510        1000000000.0000000     
   5455740925.1816635        2994.7906336884803        1000000000.0000000     
   4586839448.8875866        2880.6594381295399        1000000000.0000000     
   3856322435.1002669        2769.0907042986059        1000000000.0000000     
   3242150262.5441513        2660.1669993258715        1000000000.0000000     
   2725793421.5354891        2553.9588560907719        1000000000.0000000     
   2291673480.6290388        2450.5249801074528        1000000000.0000000     
   1926693086.9840631        2349.9125428195312        1000000000.0000000     
   1619840820.6101773        2252.1575516809949        1000000000.0000000     
   1361858980.9873576        2157.2852870332094        1000000000.0000000     
   1144964283.2174549        2065.3107956494164        1000000000.0000000     
   962613037.13952529        1976.2394308865876        1000000000.0000000     
   809303724.88768935        1890.0674296354737        1000000000.0000000     
   680411020.67722845        1806.7825166662606        1000000000.0000000     
   572046245.21339190        1726.3645275018673        1000000000.0000000     
   480940044.64711690        1648.7860415858543        1000000000.0000000     
   404343754.51414615        1574.0130182206883        1000000000.0000000     
   339946472.81797302        1502.0054285097131        1000000000.0000000     
   285805340.36028957        1439.5906888641691        1000000000.0000000     
   240286924.88383913        1385.0034166425239        1000000000.0000000     
   202017940.59345239        1337.3319374044133        1000000000.0000000     
   169843816.26841769        1295.8787250050498        1000000000.0000000     
   142793861.97049600        1260.0781702860900        1000000000.0000000     
   120051983.43084204        1229.4362976488521        1000000000.0000000     
   100932060.57196572        1203.4883025182808        1000000000.0000000     
   84857247.337343216        1181.7726678881711        1000000000.0000000     
   71342568.306719050        1163.8208270732405        1000000000.0000000     
   59980287.038815089        1149.1598281046890        1000000000.0000000     
   50427604.705891728        1137.3236367796726        1000000000.0000000     
   42396317.889262028        1127.8678789325572        1000000000.0000000     
   35644123.512539729        1120.3834594516243        1000000000.0000000     
   29967308.583375197        1114.5061827138029        1000000000.0000000     
   25194604.193956476        1109.9212235866751        1000000000.0000000     
   21182018.356120404        1106.3599022076819        1000000000.0000000     
   17808491.778253403        1103.5704044171548        1000000000.0000000     
   14972245.519228635        1101.2178255033475        1000000000.0000000     
   12587710.328484384        1098.7195593966487        1000000000.0000000     
   10582945.030757645        1095.1756386585037        1000000000.0000000     
   8897466.0684123375        1089.5494585512922        1000000000.0000000     
   7480422.7188833253        1080.9943561537486        1000000000.0000000     
   6289062.9337384943        1069.0770217489812        1000000000.0000000     
   5287443.5138856694        1053.7904972308099        1000000000.0000000     
   4445345.7070461037        1035.4256361827365        1000000000.0000000     
   3737363.5111846775        1014.4091211671159        1000000000.0000000     
   3142137.1781074577        991.17004102690294        1000000000.0000000     
   2641708.7921110131        966.04788157947667        1000000000.0000000     
   2220980.4815592282        939.22828049171210        1000000000.0000000     
   1867258.9176880703        910.68089727994879        1000000000.0000000     
   1569872.3582152338        880.05921311936288        1000000000.0000000     
   1319848.6820007835        846.47466003666204        1000000000.0000000     
   1109644.7010984453        807.86339888554585        1000000000.0000000     
   932918.58357066580        764.94322671855059        1000000000.0000000     
   784338.52108778222        725.07932771695005        1000000000.0000000     
   659421.86883292953        689.09540950910571        1000000000.0000000     
   554399.90458060394        657.76128266689170        1000000000.0000000     
   466104.12674451451        631.70140915672596        1000000000.0000000     
   391870.66101883014        610.53296583429335        1000000000.0000000     
   329459.89157126914        592.24103934466928        1000000000.0000000     
   276988.89206959971        574.03218016975552        1000000000.0000000     
   232874.61799274603        553.83519264847371        1000000000.0000000     
   195786.14634451043        531.02394138209002        1000000000.0000000     
   164604.52184712066        506.19025649184618        1000000000.0000000     
   138388.99817849032        480.54498635756988        1000000000.0000000     
   116348.65575487874        455.39569910747502        1000000000.0000000     
   97818.539770449512        431.83875832116638        1000000000.0000000     
   82239.598580894934        410.63496867278440        1000000000.0000000     
   69141.817174278534        392.19881719574465        1000000000.0000000     
   58130.036867685281        376.64590385950800        1000000000.0000000     
   48872.033411426528        363.86509504023553        1000000000.0000000     
   41088.493818458526        353.59606093946303        1000000000.0000000     
   34544.589521016176        345.49995926412663        1000000000.0000000     
   29042.891617485337        339.21565682795199        1000000000.0000000     
   24417.414463259091        334.39840236008678        1000000000.0000000     
   20528.607901342672        330.74193975456785        1000000000.0000000     
   17259.147048832107        327.98762422472777        1000000000.0000000     
   14510.392617568341        325.92487411450702        1000000000.0000000     
   12199.414977214747        324.38677678595747        1000000000.0000000     
   10256.492177054331        323.24361432198725        1000000000.0000000     
   8623.0064420887738        322.39602333100567        1000000000.0000000     
   7249.6756809476110        321.76869489426628        1000000000.0000000     
   6095.0666503882530        321.30499245570138        1000000000.0000000     
   5124.3449187163060        320.96256272444276        1000000000.0000000     
   4308.2239146545626        320.70986405628446        1000000000.0000000     
   3622.0813545757342        320.52347702603055        1000000000.0000000     
   3045.2163908017228        320.38605085193956        1000000000.0000000     
   2560.2250692120037        320.28475122872345        1000000000.0000000     
   2152.4752537830100        320.21009560647599        1000000000.0000000     
   1809.6651765872120        320.15508371587470        1000000000.0000000     
   1521.4522947519001        320.11455090549197        1000000000.0000000     
   1279.1412570313100        320.08468847850469        1000000000.0000000     
   1075.4215659764352        320.06268858752935        1000000000.0000000     
   904.14702099785870        320.04648170869996        1000000000.0000000     
   760.15028814205334        320.03454275412412        1000000000.0000000     
   639.08700217088995        320.02574798121213        1000000000.0000000     
   537.30469752049873        320.01926944615832        1000000000.0000000     
   451.73261380034768        320.01449718040948        1000000000.0000000     
   379.78905127605935        320.01098182416735        1000000000.0000000     
